"Sample"
"SRR3721799_clones_TRD"
"SRR3721799_clones_TRA"
"SRR3721797_clones_TRB"
"SRR3721797_clones_TRA"
"SRR3721796_clones_TRD"
"SRR3721796_clones_TRA"
